
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	. b8_1LbcQDr1_x_72_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_73_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_74_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_75_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_76_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_77_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_78_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_79_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_7_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_80_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_8_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_9_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b5_nvmFL_243s_x_0, 243, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. comm_block_x, 48, 17, 0, 0, 0, 0, 0, 2, 0
.	.	.	. b16_Rcmi_qlx9_yHpm7y_6s_1s_0s_0s_8s_0s_0s_1s_6s_7s_x_0, 16, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b9_ORbIwXaEF_32s_2486772369_0s_x_0, 32, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. jtag_interface_x_0, 0, 7, 0, 0, 0, 0, 0, 2, 0
